time	integration	band	mag	mag_limit	dmag	time_unit	integration_unit	mag_unit	mag_type	extinction_corrected	dtime	time_frame	instrument
1.075	1.55	g'	19.69	0	0.03	days	kiloseconds	AB	apparent	True	NaN	observer	GROND
1.075	1.55	r'	19.5	0	0.05	days	kiloseconds	AB	apparent	True	NaN	observer	GROND
1.075	1.55	i'	19.37	0	0.03	days	kiloseconds	AB	apparent	True	NaN	observer	GROND
1.075	1.55	z'	19.17	0	0.01	days	kiloseconds	AB	apparent	True	NaN	observer	GROND
1.26	0.69	g'	19.94	0	0.03	days	kiloseconds	AB	apparent	True	NaN	observer	GROND
1.26	0.69	r'	19.77	0	0.03	days	kiloseconds	AB	apparent	True	NaN	observer	GROND
1.26	0.69	i'	19.69	0	0.03	days	kiloseconds	AB	apparent	True	NaN	observer	GROND
1.26	0.69	z'	19.46	0	0.03	days	kiloseconds	AB	apparent	True	NaN	observer	GROND
2.079	1.7	g'	20.81	0	0.04	days	kiloseconds	AB	apparent	True	NaN	observer	GROND
2.079	1.7	r'	20.58	0	0.04	days	kiloseconds	AB	apparent	True	NaN	observer	GROND
2.079	1.7	i'	20.47	0	0.01	days	kiloseconds	AB	apparent	True	NaN	observer	GROND
2.079	1.7	z'	20.38	0	0.02	days	kiloseconds	AB	apparent	True	NaN	observer	GROND
2.198	1.71	g'	20.88	0	0.03	days	kiloseconds	AB	apparent	True	NaN	observer	GROND
2.198	1.71	r'	20.65	0	0.04	days	kiloseconds	AB	apparent	True	NaN	observer	GROND
2.198	1.71	i'	20.53	0	0.03	days	kiloseconds	AB	apparent	True	NaN	observer	GROND
2.198	1.71	z'	20.41	0	0.03	days	kiloseconds	AB	apparent	True	NaN	observer	GROND
3.207	1.71	g'	21.64	0	0.07	days	kiloseconds	AB	apparent	True	NaN	observer	GROND
3.207	1.71	r'	21.32	0	0.04	days	kiloseconds	AB	apparent	True	NaN	observer	GROND
3.207	1.71	i'	21.26	0	0.05	days	kiloseconds	AB	apparent	True	NaN	observer	GROND
3.207	1.71	z'	21.13	0	0.05	days	kiloseconds	AB	apparent	True	NaN	observer	GROND
4.212	1.7	g'	22.1	0	0.09	days	kiloseconds	AB	apparent	True	NaN	observer	GROND
4.212	1.7	r'	21.87	0	0.06	days	kiloseconds	AB	apparent	True	NaN	observer	GROND
